frequency,recency,T,monetary_value
0.0,0.0,32.0,0.0
5.0,5.0,19.0,2.49
0.0,0.0,31.0,0.0
0.0,0.0,27.0,0.0
3.0,3.0,31.0,2.49
0.0,0.0,26.0,0.0
3.0,3.0,22.0,2.49
0.0,0.0,12.0,0.0
1.0,1.0,27.0,2.49
0.0,0.0,26.0,0.0
19.0,20.0,22.0,2.49
25.0,26.0,27.0,2.49
0.0,0.0,12.0,0.0
26.0,26.0,27.0,2.49
0.0,0.0,22.0,0.0
0.0,0.0,32.0,0.0
0.0,0.0,30.0,0.0
1.0,1.0,32.0,2.49
1.0,1.0,23.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,20.0,0.0
6.0,7.0,31.0,2.49
20.0,22.0,22.0,2.49
0.0,0.0,26.0,0.0
0.0,0.0,19.0,0.0
11.0,23.0,23.0,2.7163636363636368
1.0,1.0,21.0,2.49
26.0,27.0,28.0,2.49
0.0,0.0,31.0,0.0
1.0,1.0,26.0,2.49
3.0,3.0,28.0,2.49
0.0,0.0,31.0,0.0
0.0,0.0,13.0,0.0
1.0,1.0,22.0,2.49
1.0,1.0,26.0,2.49
1.0,1.0,30.0,2.49
0.0,0.0,31.0,0.0
2.0,9.0,27.0,2.49
1.0,1.0,27.0,2.49
1.0,1.0,29.0,2.49
2.0,2.0,31.0,2.49
1.0,1.0,23.0,2.49
19.0,19.0,27.0,2.49
11.0,11.0,24.0,2.49
2.0,2.0,32.0,2.49
0.0,0.0,11.0,0.0
8.0,10.0,23.0,2.8012500000000005
1.0,1.0,23.0,2.49
5.0,5.0,26.0,2.49
0.0,0.0,31.0,0.0
17.0,31.0,33.0,2.6364705882352943
3.0,3.0,23.0,2.49
0.0,0.0,24.0,0.0
12.0,13.0,25.0,2.49
1.0,1.0,24.0,2.49
9.0,9.0,31.0,2.49
3.0,3.0,27.0,2.49
0.0,0.0,3.0,0.0
1.0,1.0,25.0,2.49
2.0,2.0,23.0,2.49
0.0,0.0,20.0,0.0
0.0,0.0,29.0,0.0
1.0,1.0,24.0,2.49
0.0,0.0,23.0,0.0
0.0,0.0,15.0,0.0
9.0,9.0,27.0,2.49
6.0,14.0,22.0,2.49
6.0,6.0,24.0,2.49
0.0,0.0,23.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,30.0,0.0
0.0,0.0,33.0,0.0
1.0,1.0,26.0,2.49
8.0,8.0,32.0,2.49
0.0,0.0,24.0,0.0
8.0,9.0,25.0,2.49
0.0,0.0,21.0,0.0
0.0,0.0,22.0,0.0
5.0,5.0,21.0,2.49
16.0,18.0,28.0,2.49
0.0,0.0,22.0,0.0
0.0,0.0,22.0,0.0
3.0,3.0,28.0,2.49
3.0,6.0,13.0,3.3200000000000003
3.0,3.0,25.0,2.49
0.0,0.0,23.0,0.0
7.0,7.0,19.0,2.4899999999999998
14.0,14.0,21.0,2.4899999999999998
0.0,0.0,22.0,0.0
13.0,14.0,27.0,2.49
4.0,6.0,25.0,2.49
1.0,1.0,9.0,4.98
1.0,1.0,25.0,2.49
0.0,0.0,24.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,30.0,0.0
6.0,6.0,29.0,2.49
7.0,7.0,33.0,2.4899999999999998
2.0,2.0,23.0,2.49
10.0,10.0,22.0,2.49
4.0,5.0,21.0,2.49
10.0,11.0,29.0,2.49
20.0,21.0,22.0,2.49
7.0,7.0,20.0,2.4899999999999998
4.0,4.0,24.0,2.49
1.0,1.0,31.0,2.49
0.0,0.0,23.0,0.0
25.0,26.0,27.0,2.6892
1.0,1.0,25.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,31.0,0.0
13.0,13.0,24.0,2.49
1.0,1.0,19.0,2.49
2.0,2.0,22.0,2.49
5.0,5.0,25.0,2.49
5.0,28.0,29.0,2.49
1.0,1.0,28.0,2.49
1.0,1.0,19.0,2.49
1.0,1.0,19.0,2.49
2.0,2.0,19.0,2.49
4.0,4.0,4.0,2.49
2.0,2.0,22.0,2.49
9.0,9.0,26.0,2.49
0.0,0.0,22.0,0.0
0.0,0.0,7.0,0.0
2.0,2.0,20.0,2.49
4.0,4.0,30.0,2.49
20.0,25.0,33.0,2.49
0.0,0.0,21.0,0.0
2.0,2.0,26.0,3.7350000000000003
21.0,23.0,24.0,2.49
0.0,0.0,8.0,0.0
1.0,1.0,32.0,2.49
0.0,0.0,24.0,0.0
0.0,0.0,25.0,0.0
0.0,0.0,22.0,0.0
4.0,5.0,29.0,2.49
1.0,22.0,25.0,4.98
17.0,17.0,19.0,2.49
0.0,0.0,28.0,0.0
8.0,10.0,26.0,2.8012500000000005
21.0,23.0,30.0,2.49
10.0,13.0,22.0,2.49
10.0,10.0,30.0,2.49
