frequency,recency,T,monetary_value
0.0,0.0,22.0,0.0
0.0,0.0,32.0,0.0
0.0,0.0,19.0,0.0
9.0,9.0,23.0,2.49
2.0,2.0,26.0,2.49
22.0,30.0,31.0,2.829545454545455
7.0,7.0,26.0,2.4899999999999998
0.0,0.0,23.0,0.0
0.0,0.0,30.0,0.0
13.0,14.0,28.0,2.49
19.0,20.0,29.0,2.49
0.0,0.0,31.0,0.0
0.0,0.0,26.0,0.0
0.0,0.0,22.0,0.0
4.0,4.0,23.0,2.49
5.0,5.0,32.0,3.4859999999999998
22.0,23.0,32.0,2.49
23.0,25.0,30.0,2.49
6.0,6.0,28.0,2.49
0.0,0.0,24.0,0.0
3.0,3.0,19.0,2.49
3.0,3.0,27.0,2.49
0.0,0.0,20.0,0.0
0.0,0.0,26.0,0.0
25.0,25.0,26.0,2.49
1.0,1.0,32.0,2.49
2.0,3.0,30.0,2.49
11.0,11.0,28.0,2.49
10.0,13.0,30.0,2.49
5.0,5.0,25.0,2.49
0.0,0.0,30.0,0.0
2.0,2.0,26.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,25.0,0.0
15.0,16.0,32.0,2.49
0.0,0.0,25.0,0.0
0.0,0.0,28.0,0.0
1.0,4.0,25.0,2.49
17.0,18.0,19.0,2.49
5.0,5.0,28.0,2.49
13.0,15.0,16.0,2.49
0.0,0.0,24.0,0.0
21.0,22.0,32.0,2.49
2.0,9.0,25.0,2.49
27.0,29.0,30.0,2.49
0.0,0.0,19.0,0.0
14.0,15.0,20.0,2.4899999999999998
0.0,0.0,22.0,0.0
0.0,0.0,30.0,0.0
0.0,0.0,21.0,0.0
2.0,2.0,32.0,2.49
22.0,26.0,27.0,2.6031818181818185
0.0,0.0,20.0,0.0
9.0,9.0,21.0,2.49
10.0,10.0,24.0,2.49
19.0,20.0,21.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,5.0,0.0
0.0,0.0,23.0,0.0
31.0,32.0,32.0,2.49
0.0,0.0,21.0,0.0
22.0,22.0,24.0,2.49
3.0,3.0,21.0,2.49
7.0,7.0,28.0,2.4899999999999998
0.0,0.0,22.0,0.0
1.0,1.0,23.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,32.0,0.0
3.0,3.0,27.0,2.49
2.0,2.0,30.0,2.49
10.0,10.0,12.0,2.49
0.0,0.0,21.0,0.0
0.0,0.0,24.0,0.0
2.0,2.0,25.0,2.49
0.0,0.0,26.0,0.0
1.0,1.0,26.0,2.49
1.0,2.0,27.0,4.98
0.0,0.0,23.0,0.0
0.0,0.0,25.0,0.0
5.0,7.0,25.0,2.9880000000000004
2.0,2.0,24.0,2.49
0.0,0.0,25.0,0.0
0.0,0.0,19.0,0.0
6.0,7.0,30.0,2.49
14.0,32.0,33.0,2.667857142857143
28.0,28.0,31.0,2.4899999999999998
